"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
1,"ABRUZZO CLUB",815782.86,0,0,808392.89,772215.56,1580608.45,"377 LYGON STREET EAST BRUNSWICK   VIC 3057","Club","V9410047","Metropolitan","55","59"
2,"ACES SPORTING CLUB",2015469.04,0,0,2580593.06,2206162.5,4786755.56,"CNR HUTTON AND SPRINGVALE ROADS KEYSBOROUGH   VIC 3173","Club","V9410194","Metropolitan","77","77"
3,"ALBION CHARLES HOTEL",2977125.5,0,0,3657245.39,3506213.56,7163458.95,"2 CHARLES STREET NORTHCOTE   VIC 3070","Hotel","V98095066","Metropolitan","50","65"
4,"ALBION HOTEL",1268889.88,0,0,1353033.83,1098638.48,2451672.31,"327 LONSDALE STREET DANDENONG   VIC 3175","Hotel","V9210159","Metropolitan","24","24"
5,"ALEXANDRA HOUSE SPORTS CLUB",1239568.14,0,0,1382761.38,1301166.05,2683927.43,"134 BROWN STREET HAMILTON   VIC 3300","Club","V9310024","Country","35","35"
6,"ALL SEASONS INTERNATIONAL HOTEL BENDIGO",5114271.41,0,0,5333488.32,5103071.33,10436559.65,"171-183 MCIVOR ROAD BENDIGO   VIC 3550","Hotel","V07096012","Country","100","100"
7,"ALMA SPORTS CLUB",0,0,0,172896.56,0,172896.56,"1 WILKS STREET NORTH CAULFIELD 3161","Club","V9410180","Metropolitan","0","26"
8,"ALTONA BOWLING CLUB",1192759.01,0,0,1416625.57,1340394.35,2757019.92,"113 CIVIC PARADE ALTONA   VIC 3018","Club","V9410109","Metropolitan","37","37"
9,"ALTONA RSL",1853995.7,0,0,1944049.33,1963006.28,3907055.61,"31 SARGOOD STREET ALTONA   VIC 3018","Club","V98095043","Metropolitan","58","58"
10,"ALTONA SPORTS CLUB",2011540.06,0,0,2195926.35,2039936.17,4235862.52,"11 ALTONA ROAD SEAHOLME   VIC 3018","Club","V9780022","Metropolitan","83","83"
11,"American Hotel",NA,NA,NA,NA,NA,NA,"239-249 Hare Street Echuca 3564","Hotel","V09096294","Country","42","42"
